price,amount,timestamp,instrument
105153.0,647730.0,1749985343542,BTC-PERPETUAL
105153.5,610.0,1749985343542,BTC-PERPETUAL
105155.0,50.0,1749985343542,BTC-PERPETUAL
105156.0,50.0,1749985343542,BTC-PERPETUAL
105157.0,1000.0,1749985343542,BTC-PERPETUAL
105160.0,17670.0,1749985343542,BTC-PERPETUAL
105164.0,80470.0,1749985343542,BTC-PERPETUAL
105167.0,38490.0,1749985343542,BTC-PERPETUAL
105167.5,128300.0,1749985343542,BTC-PERPETUAL
105170.5,320.0,1749985343542,BTC-PERPETUAL
105171.5,59650.0,1749985343542,BTC-PERPETUAL
105172.5,390.0,1749985343542,BTC-PERPETUAL
105174.5,11000.0,1749985343542,BTC-PERPETUAL
105175.0,40450.0,1749985343542,BTC-PERPETUAL
105175.5,11000.0,1749985343542,BTC-PERPETUAL
105176.5,177990.0,1749985343542,BTC-PERPETUAL
105178.5,60890.0,1749985343542,BTC-PERPETUAL
105179.0,500.0,1749985343542,BTC-PERPETUAL
105180.5,17800.0,1749985343542,BTC-PERPETUAL
105181.5,14540.0,1749985343542,BTC-PERPETUAL
